a,b,c,Status,Broken_at_L,Time(sec)
1,1,1,❌ Broken,4,0.07
1,1,2,❌ Broken,2,0.05
1,1,3,❌ Broken,2,0.02
1,1,4,❌ Broken,2,0.05
1,1,5,❌ Broken,2,0.19
1,1,6,❌ Broken,2,0.06
1,1,7,❌ Broken,2,1.78
1,2,2,❌ Broken,3,0.01
1,2,3,❌ Broken,2,0.02
1,2,4,❌ Broken,2,0.04
1,2,5,❌ Broken,2,0.07
1,2,6,❌ Broken,2,0.13
1,2,7,❌ Broken,2,0.21
1,3,3,❌ Broken,3,0.04
1,3,4,❌ Broken,2,0.09
1,3,5,❌ Broken,2,0.18
1,3,6,❌ Broken,2,0.39
1,3,7,❌ Broken,2,0.78
1,4,4,❌ Broken,3,0.21
1,4,5,❌ Broken,2,0.51
1,4,6,❌ Broken,2,1.14
1,4,7,❌ Broken,2,2.31
1,5,5,❌ Broken,3,1.35
1,5,6,❌ Broken,2,3.14
1,5,7,❌ Broken,2,7.23
1,6,6,❌ Broken,3,11.82
1,6,7,❌ Broken,2,26.35
1,7,7,❌ Broken,3,48.79
2,2,2,❌ Broken,3,0.04
2,2,3,❌ Broken,4,0.06
2,2,4,❌ Broken,3,0.14
2,2,5,❌ Broken,2,0.32
2,2,6,❌ Broken,2,0.67
2,2,7,❌ Broken,2,1.41
2,3,3,❌ Broken,3,0.22
2,3,4,❌ Broken,4,0.67
2,3,5,❌ Broken,3,1.56
2,3,6,❌ Broken,3,3.6
2,3,7,❌ Broken,2,8.35
2,4,4,❌ Broken,3,2.72
2,4,5,❌ Broken,4,12.21
2,4,6,❌ Broken,3,33.97
2,4,7,❌ Broken,3,64.45
2,5,5,❌ Broken,3,69.83
2,5,6,❌ Broken,4,183.05
