a,b,c,Status,Broken_at_L,Time(sec),Seed
1,1,1,❌ Broken,4,0.1,723614350
1,1,2,❌ Broken,2,0.01,1823603539
1,1,3,❌ Broken,2,0.01,225445022
1,1,4,❌ Broken,2,0.02,1772592742
1,1,5,❌ Broken,2,0.02,1774216519
1,1,6,❌ Broken,2,0.03,229337256
1,1,7,❌ Broken,2,0.04,704799289
1,2,2,❌ Broken,3,0.01,226027059
1,2,3,❌ Broken,2,0.01,637040442
1,2,4,❌ Broken,2,0.03,1664114289
1,2,5,❌ Broken,2,0.06,187904108
1,2,6,❌ Broken,2,0.1,1928048482
1,2,7,❌ Broken,2,0.19,736993136
1,3,3,❌ Broken,3,0.04,703903156
1,3,4,❌ Broken,2,0.08,1347557359
1,3,5,❌ Broken,2,0.17,1520496782
1,3,6,❌ Broken,2,0.35,615819372
1,3,7,❌ Broken,2,0.73,1878582879
1,4,4,❌ Broken,3,0.22,1317192351
1,4,5,❌ Broken,2,0.48,143235576
1,4,6,❌ Broken,2,1.15,770754650
1,4,7,❌ Broken,2,2.15,120771048
1,5,5,❌ Broken,3,1.35,870280447
1,5,6,❌ Broken,2,3.13,813539751
1,5,7,❌ Broken,2,7.51,1370166582
1,6,6,❌ Broken,3,8.82,814116299
1,6,7,❌ Broken,2,23.08,222635056
1,7,7,❌ Broken,3,52.06,772772375
2,2,2,❌ Broken,3,0.04,1306516951
2,2,3,❌ Broken,4,0.06,1967537868
2,2,4,❌ Broken,3,0.14,1436726706
2,2,5,❌ Broken,2,0.31,1008900797
2,2,6,❌ Broken,2,1.07,1923988113
2,2,7,❌ Broken,2,1.39,659725037
2,3,3,❌ Broken,3,0.22,363744249
2,3,4,❌ Broken,4,0.65,180565560
2,3,5,❌ Broken,3,1.66,1257323672
2,3,6,❌ Broken,3,3.62,2103965579
2,3,7,❌ Broken,2,8.36,2002878641
2,4,4,❌ Broken,3,3.86,2126374052
2,4,5,❌ Broken,4,12.65,1815574800
2,4,6,❌ Broken,3,32.48,1738970919
2,4,7,❌ Broken,3,63.63,54657891
2,5,5,❌ Broken,3,68.26,1550620968
2,5,6,❌ Broken,4,173.53,461238893
2,5,7,❌ Broken,3,360.65,1692616969
2,6,6,❌ Broken,3,545.9,1725134638
2,6,7,❌ Broken,4,1232.56,1501246136
2,7,7,❌ Broken,3,3945.5,271501542
3,3,3,✅ Candidate,None,3.39,613920147
3,3,4,❌ Broken,5,12.68,1257141380
3,3,5,❌ Broken,4,32.88,900485689
3,3,6,✅ Candidate,None,67.43,1669060013
3,3,7,❌ Broken,4,112.58,1806973655
3,4,4,✅ Candidate,None,66.03,1885853536
3,4,5,✅ Candidate,None,263.03,367901403
3,4,6,✅ Candidate,None,591.51,536783658
3,4,7,✅ Candidate,None,1179.77,809070951
3,5,5,✅ Candidate,None,993.27,1022322073
3,5,6,✅ Candidate,None,2694.57,1062142306
3,5,7,✅ Candidate,None,5794.97,1528188561
3,6,6,✅ Candidate,None,6149.1,819136659
